,Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Product Page
30,Corsair CX450,$43.52 USD,Corsair,CP-9020120-NA,843591083928,843591083928.0,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01MTZ96RU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
31,Corsair CX450M,$47.14 USD,Corsair,CP-9020101-NA,843591057967,843591057967.0,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01B72VXE6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
32,Corsair CX550,$68.9 USD,Corsair,CP-9020121-NA,843591084000,843591084000.0,550 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01MRW2K79?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
38,Corsair RM550x,$78.25 USD,Corsair,CP-9020090-NA,843591050586,843591050586.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM550x-Modular-Certified-Warranty/dp/B015YEICJ2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015YEICJ2
39,Corsair RM750x,$108.8 USD,Corsair,CP-9020092-NA,843591050746,843591050746.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM750x-Modular-Certified-Warranty/dp/B015YEI9NQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015YEI9NQ
50,Corsair TX550M,$90.66 USD,Corsair,CP-9020133-NA,843591091282,843591091282.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01MSEYY23?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
52,Corsair TX650M,$93.57 USD,Corsair,CP-9020132-NA,843591091206,843591091206.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01N18J52E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
54,Corsair TX750M,$79.78 USD,Corsair,CP-9020131-NA,843591091121,843591091121.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B00FZLD2O0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
56,Corsair TX850M,$101.55 USD,Corsair,CP-9020130-NA,843591091046,843591091046.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01N5WW9GQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
63,EVGA SuperNOVA 550 G3,$79.78 USD,EVGA,220-G3-0550-Y1,843368042547,843368042547.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01LWTS2UL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
