,Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
0,Corsair Vengeance RGB RS,$61.19 USD,Corsair,CMG16GX4M2E3200C16,840006649007,,DDR4-3200,16 GB,3200,16-20-20-38,2,https://www.amazon.ca/dp/B09C5V7M9X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,ADATA XPG Spectrix RGB D60G grey,$131.73 USD,ADATA,AX4U360038G17-DT60,4710273772011,,DDR4-3600,16 GB,3600,17-18-18,2,https://www.amazon.ca/dp/B07QVWLJHQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
25,Ballistix Sport DDR4-2400 CL16,$51.34 USD,Ballistix,BLS8G4D240FSA,649528769640,,DDR4-2400,8 GB,2400,,1,https://www.amazon.ca/Ballistix-PC4-19200-Unbuffered-288-Pin-BLS8G4D240FSA/dp/B00MTSWG30?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MTSWG30
28,Corsair Dominator Platinum + AF,$256.78 USD,Corsair,CMD16GX4M2B3600C18,843591090681,843591090681.0,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3600MHz-Desktop/dp/B01G260XKC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G260XKC
29,Corsair Dominator Platinum DDR4-2666 CL15,$213.04 USD,Corsair,CMD32GX4M2A2666C15,843591069847,843591069847.0,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Dominator-Platinum-2666MHz-Desktop/dp/B017NW5KXE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017NW5KXE
30,Corsair Dominator Platinum RGB Series,$92.75 USD,Corsair,CMT16GX4M2Z3200C16,840006609452,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HHLN1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
31,Corsair Dominator Platinum RGB Series,$111.69 USD,Corsair,CMT16GX4M2C3600C18,840006607311,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B07N3HCWJG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
32,Corsair Dominator Platinum RGB Series,$133.69 USD,Corsair,CMT32GX4M2C3200C16,840006607342,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3LDKR1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
33,Corsair Dominator Platinum RGB Series,$145.07 USD,Corsair,CMT16GX4M2C3200C16,840006607304,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HT852?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
34,Corsair Dominator Platinum RGB Series,$297.4 USD,Corsair,CMT32GX4M4Z3200C16,840006609476,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HBQSY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
36,Corsair Dominator Platinum Series 16GB,$262.93 USD,Corsair,CMD16GX4M2B3466C16,843591029780,843591029780.0,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3466MHz-Desktop/dp/B06ZYWT6NM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06ZYWT6NM
37,Corsair Dominator Platinum Series 32GB,$244.44 USD,Corsair,CMD32GX4M2C3200C16,843591084703,843591084703.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01BGZEWO2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
38,Corsair Dominator Platinum Series DDR4-3200,$108.8 USD,Corsair,CMD16GX4M2B3200C16,843591073073,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B018GK2G9S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
39,Corsair LED 32GB,$272.78 USD,Corsair,CMU32GX4M2C3200C16,843591090346,843591090346.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-VENGEANCE-2x16GB-3200MHz-Desktop/dp/B01HKF3RMK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3RMK
