timestamp,company_name,name,brand_name,category,product_number,price,score,image_url,reviews
1604570838,pccomponentes,Gigabyte SSD M.2 512GB 2280 PCIe x2 NVMe,Gigabyte,Discos Duros,GP-GSM2NE8512GNTD,75.99,9.75,https://thumb.pccomponentes.com/w-530-530/articles/18/186808/2.jpg,8
1604570839,pccomponentes,BitFenix Enso Cristal Templado USB 3.0 RGB Blanca,BitFenix,Torres,BFC-ENS-150-WWWGK,84,0,https://thumb.pccomponentes.com/w-530-530/articles/18/186843/bfc-ens-150-wwwgk-rp-06.jpg,0
1604570846,pccomponentes,PNY XLR8 CS3030 250GB M.2 3D TLC NVMe PCI-Express,PNY,Discos Duros,M280CS3030-250-RB,48.90909091,9.33,https://thumb.pccomponentes.com/w-530-530/articles/18/187143/xlr8-cs3030-ssd-m-2-nvme-fr.jpg,24
1604570849,pccomponentes,PNY XLR8 CS3030 500GB M.2 3D TLC NVMe PCI-Express,PNY,Discos Duros,M280CS3030-500-RB,72.11570248,9.72,https://thumb.pccomponentes.com/w-530-530/articles/18/187147/xlr8-cs3030-ssd-m-2-nvme-fr.jpg,190
1604570850,pccomponentes,PNY XLR8 CS3030 1TB M.2 3D TLC NVMe PCI-Express,PNY,Discos Duros,M280CS3030-1TB-RB,121.8760331,9.65,https://thumb.pccomponentes.com/w-530-530/articles/18/187151/xlr8-cs3030-ssd-m-2-nvme-fr.jpg,52
1604570861,pccomponentes,G.Skill Trident Z Royal DDR4 3000Mhz PC4-24000 2x16GB CL16 Dorado,G.Skill,Memoria RAM,F4-3000C16D-32GTRG,237.99,10,https://thumb.pccomponentes.com/w-530-530/articles/18/187365/trg-d-01.jpg,1
1604570863,pccomponentes,BitFenix Enso Mesh Semitorre ATX Cristal Templado RGB Blanca,BitFenix,Torres,BFC-ESM-150-WWWGK,93.99,9.2,https://thumb.pccomponentes.com/w-530-530/articles/18/187514/bfc-esm-150-wwwgk-rp-09.jpg,5
1604570864,pccomponentes,BitFenix Enso Mesh Semitorre ATX Cristal Templado RGB Negra,BitFenix,Torres,BFC-ESM-150-KKWGK,93.99,9.2,https://thumb.pccomponentes.com/w-530-530/articles/18/187515/bfc-esm-150-kkwgk-rp-09.jpg,5
1604570865,pccomponentes,BitFenix Nova Semitorre ATX con Ventana Blanca,BitFenix,Torres,BFX-NOV-100-WWWKK,34.99,8.5,https://thumb.pccomponentes.com/w-530-530/articles/18/187531/nova-4.jpg,4
1604570867,pccomponentes,BitFenix Nova TG Semitorre ATX Cristal Templado Blanca,BitFenix,Torres,BFX-NTG-100-WWWKK,49.99,7.14,https://thumb.pccomponentes.com/w-530-530/articles/18/187561/bfx-ntg-100-wwwkk-rp-07.jpg,7
1604570868,pccomponentes,BitFenix Nova Semitorre ATX con Ventana Negra,BitFenix,Torres,BFX-NOV-100-KKWSK,34.99,7.38,https://thumb.pccomponentes.com/w-530-530/articles/18/187564/nova-3.jpg,16
1604570870,pccomponentes,MSI MPG Gungnir 100 Cristal Templado USB 3.0 ARGB Negro,MSI,Torres,306-7G09M61-W57,114.89,9.17,https://thumb.pccomponentes.com/w-530-530/articles/18/187582/gungnir-100-5.jpg,70
1604570871,pccomponentes,BitFenix Nova TG Semitorre ATX Cristal Templado Negra,BitFenix,Torres,BFX-NTG-100-KKWSK,49.99,5.33,https://thumb.pccomponentes.com/w-530-530/articles/18/187591/bfx-ntg-100-kkwsk-rp-07.jpg,3
1604570873,pccomponentes,Tempest Spectra RGB USB 3.0 con Ventana,Tempest,Torres,TP-ATX-CS-SPEC,34.99,8.36,https://thumb.pccomponentes.com/w-530-530/articles/18/187597/image.jpg,694
1604570875,pccomponentes,MSI MPG Gungnir 100P Cristal Templado USB 3.0 Negro,MSI,Torres,306-7G09M51-W57,89.99,9.43,https://thumb.pccomponentes.com/w-530-530/articles/18/187603/gungnir-100p-5.jpg,28
1604570876,pccomponentes,MSI MAG Vampiric 010 Cristal Templado USB 3.0 ARGB Negro,MSI,Torres,306-7G08M12-809,64.99,9.25,https://thumb.pccomponentes.com/w-530-530/articles/18/187618/vampiric-010-7.jpg,308
1604570878,pccomponentes,Gigabyte Aorus RGB M.2 512GB PCI Express 3.0 3D TLC NVMe,Gigabyte,Discos Duros,GP-ASM2NE2512GTTDR,90.1322314,9.47,https://thumb.pccomponentes.com/w-530-530/articles/18/187631/1.jpg,19
1604570880,pccomponentes,Gigabyte Aorus RGB M.2 256GB PCI Express 3.0 3D TLC NVMe,Gigabyte,Discos Duros,GP-ASM2NE2256GTTDR,64.85950413,9.26,https://thumb.pccomponentes.com/w-530-530/articles/18/187640/1.jpg,19
1604570884,pccomponentes,Nfortec Lynx Cristal Templado USB 3.0 RGB Blanco,Nfortec,Torres,NF-CS-LYNX-W,39.99,8.79,https://thumb.pccomponentes.com/w-530-530/articles/18/188130/lynx-white-01.jpg,473
1604570886,pccomponentes,Nfortec Lynx Cristal Templado USB 3.0 RGB Negra,Nfortec,Torres,NF-CS-LYNX-B,39.95,8.85,https://thumb.pccomponentes.com/w-530-530/articles/18/188133/lynx-black-01.jpg,660
1604570887,pccomponentes,Cooler Master MasterWatt Lite 700W 80 Plus,Cooler Master,Fuentes Alimentacion,MPX-7001-ACABW-EU,59.98,8.9,https://thumb.pccomponentes.com/w-530-530/articles/18/188162/1.jpg,20
1604570890,pccomponentes,Cooler Master MasterWatt Lite 500W 80 Plus,Cooler Master,Fuentes Alimentacion,MPX-5001-ACABW-EU,46.98,9.38,https://thumb.pccomponentes.com/w-530-530/articles/18/188175/1.jpg,16
1604570896,pccomponentes,Gigabyte P650B 650W 80 Plus Bronze ,Gigabyte,Fuentes Alimentacion,GP-P650B,49.58677686,9.61,https://thumb.pccomponentes.com/w-530-530/articles/18/188379/c4.jpg,97
1604570901,pccomponentes,Mars Gaming MCX ATX Cristal Templado USB 3.0 RGB Negra,Mars Gaming,Torres,MCX,34.26446281,8.26,https://thumb.pccomponentes.com/w-530-530/articles/18/188868/1.jpg,136
1604570903,pccomponentes,Mars Gaming MCX ATX Cristal Templado USB 3.0 RGB Blanca,Mars Gaming,Torres,MCXW,34.72727273,8.46,https://thumb.pccomponentes.com/w-530-530/articles/18/188871/1.jpg,131
1604570905,pccomponentes,Aerocool LUX 550M RGB 550W Bronze Semi-Modular ,Aerocool,Fuentes Alimentacion,LUXRGB550M,44.39669421,8.72,https://thumb.pccomponentes.com/w-530-530/articles/18/188900/01.jpg,25
1604570906,pccomponentes,Aerocool LUX 650M RGB 650W Bronze Semi-Modular ,Aerocool,Fuentes Alimentacion,LUXRGB650M,52.3553719,9.2,https://thumb.pccomponentes.com/w-530-530/articles/18/188913/01.jpg,25
1604570908,pccomponentes,Aerocool LUX 750M RGB 750W Bronze Semi-Modular ,Aerocool,Fuentes Alimentacion,LUXRGB750M,60.78512397,9.33,https://thumb.pccomponentes.com/w-530-530/articles/18/188923/01.jpg,18
1604570915,pccomponentes,WD Green SATA 480GB SSD M.2 2280,Western Digital,Discos Duros,WDS480G2G0B,49.16528926,9.48,https://thumb.pccomponentes.com/w-530-530/articles/18/189658/e1.jpg,42
1604570916,pccomponentes,Asus GeForce RTX 2060 TUF OC 6GB GDDR6,Asus,Tarjetas graficas,90YV0CJ1-M0NA00,297.8347107,9.5,https://thumb.pccomponentes.com/w-530-530/articles/18/189693/1.jpg,4
1604570917,pccomponentes,L-Link Kiro RGB ATX Cristal Templado USB 3.0 Negra,L-Link,Torres,KIRO,62.99,8.96,https://thumb.pccomponentes.com/w-530-530/articles/18/189748/kiro-1.jpg,69
1604570919,pccomponentes,Corsair Vengeance RGB Pro DDR4 3000 PC4-24000 32GB 2x16GB CL15,Corsair,Memoria RAM,CMW32GX4M2C3000C15,154.99,9.84,https://thumb.pccomponentes.com/w-530-530/articles/19/190063/1-1.jpg,25
1604570921,pccomponentes,"Maxtor M3 Portable 4TB 2.5"" USB 3.0",Maxtor,Discos Duros,STSHX-M401TCBM,105.8,8.92,https://thumb.pccomponentes.com/w-530-530/articles/19/190064/1399390.jpg,13
1604570923,pccomponentes,Kingston A400 SSD 120GB M.2 SATA III TLC,Kingston,Discos Duros,SA400M8/120G,30.30578512,9.79,https://thumb.pccomponentes.com/w-530-530/articles/19/190082/2.jpg,28
1604570927,pccomponentes,Kingston A400 SSD 240GB M.2 SATA III TLC,Kingston,Discos Duros,SA400M8/240G,30.37190083,9.51,https://thumb.pccomponentes.com/w-530-530/articles/19/190085/2.jpg,57
1604570928,pccomponentes,Tempest Shadow USB 3.0 con Ventana RGB Negro,Tempest,Torres,TP-ATX-CS-SHAD,39.98,7.49,https://thumb.pccomponentes.com/w-530-530/articles/19/190324/photo-1.jpg,130
1604570930,pccomponentes,Tempest Ghost Cristal Templado USB 3.0 RGB Negro,Tempest,Torres,TP-ATX-CS-GHOS,59.98,8.53,https://thumb.pccomponentes.com/w-530-530/articles/19/190372/ghost-1.jpg,189
1604570933,pccomponentes,MSI GeForce GTX 1660 Gaming X 6GB GDDR5,MSI,Tarjetas graficas,912-V379-009,244.9,9.68,https://thumb.pccomponentes.com/w-530-530/articles/19/190541/3.jpg,76
1604570934,pccomponentes,MSI GeForce GTX 1660 Armor OC 6GB GDDR5,MSI,Tarjetas graficas,912-V379-010,252.8347107,9.7,https://thumb.pccomponentes.com/w-530-530/articles/19/190544/3.jpg,33
