,Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
4,Toshiba DT01ACA100 1TB 32MB,$65.49 USD,Toshiba,DT01ACA100,608729688839,696859078965.0,,1 TB,7200.0,,https://www.amazon.ca/Toshiba-3-5-Inch-Internal-Drive-DT01ACA100/dp/B00AV5FEV4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00AV5FEV4
5,Toshiba P300 HDWD110EZSTA 1TB 64MB,$18.88 USD,Toshiba,HDWD110EZSTA,4051528202670,,,1 TB,7200.0,,https://www.amazon.ca/1868806-Flexible-Cable-Black-White/dp/B0140Z4P7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0140Z4P7Y
7,HGST Ultrastar He6,$466.85 USD,HGST,0F18335,672042149803,,,6 TB,7200.0,,https://www.amazon.ca/Ultrastar-Enterprise-Internal-Drive-Cache/dp/B00GTD3AR2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00GTD3AR2
8,HGST Ultrastar He8,$491.18 USD,HGST,0F23267,8717306633901,,,8 TB,7200.0,,https://www.amazon.ca/Western-Digital-Ultrastar-3-5-Inch-0F23267/dp/B00NP6AOCK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NP6AOCK
14,Seagate BarraCuda Compute Hard Drive 2 TB,$43.52 USD,Seagate,ST2000DM008,763649113653,763649113653.0,"3.5""",2 TB,7200.0,256.0,https://www.amazon.ca/dp/B07H2RR55Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,Seagate Barracuda Hard Drive,$48.67 USD,Seagate,ST1000DM003,7636490025914,,,1 TB,7200.0,64.0,https://www.amazon.ca/Seagate-Desktop-HDD-Hard-Drive/dp/B01KALOV08?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KALOV08
17,Seagate BarraCuda Hard Drive,$54.4 USD,Seagate,ST2000DM006,763649110218,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-BarraCuda-3-5-Inch-Internal-ST2000DM006/dp/B01IEKG402?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IEKG402
18,Seagate BarraCuda Hard Drive,$84.78 USD,Seagate,ST3000DM008,763649110225,,,3 TB,7200.0,,https://www.amazon.ca/dp/B01IEKG4NE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
19,Seagate Barracuda Hard Drive,$112.71 USD,Seagate,ST2000DM001,7636490026003,,,2 TB,7200.0,64.0,https://www.amazon.ca/Seagate-ST2000DM001-Drives-Cache-Internal/dp/B00EG1T898?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EG1T898
20,Seagate BarraCuda Hard Drive 1 TB,$42.06 USD,Seagate,ST1000DM010,763649098240,763649110928.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B07D99KFPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
21,Seagate BarraCuda Hard Drive 1 TB,$51.86 USD,Seagate,ST1000LM048,763649098301,763649110980.0,"2.5""",1 TB,5400.0,128.0,https://www.amazon.ca/dp/B01LYNQXCP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
24,Seagate BarraCuda Hard Drive 3 TB,$87.04 USD,Seagate,ST3000DM007,7636490078170,763649090855.0,"3.5""",3 TB,5400.0,256.0,https://www.amazon.ca/dp/B075YPRCWC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
26,Seagate BarraCuda Hard Drive 4 TB,$89.48 USD,Seagate,ST4000DM004,763649094402,763649094402.0,"3.5""",4 TB,5400.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-Computer-ST4000DM004/dp/B071WLPRHN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WLPRHN
27,Seagate BarraCuda Hard Drive 5 TB,$195.02 USD,Seagate,ST5000LM000,763649078969,763649078969.0,"2.5""",5 TB,5400.0,128.0,https://www.amazon.ca/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0AADIX
