,Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
0,MSI B550-A Pro,$145.07 USD,MSI,7C56-002R,4719072733667,824142219362.0,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B089CZSQB4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
4,ASRock B360 Pro4,$112.72 USD,ASRock,90-MXB6V0-A0UAYZ,4717677335262,,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-B360-PRO4-CrossFireX-Motherboard/dp/B07BMVTZDY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVTZDY
5,ASRock B360M Pro4,$92.4 USD,ASRock,90-MXB760-A0UAYZ,4717677335149,,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-B360M-PRO4-CrossFireX-Motherboard/dp/B07BMVV827?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVV827
6,ASRock B360M-ITX/AC,$103.49 USD,ASRock,90-MXB790-A0UAYZ,4717677335163,,1151,B360,False,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-B360M-ITX-AC-Mini-ITX-Motherboard/dp/B07BMVHFBW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVHFBW
9,ASRock B650M PG Riptide,$159.58 USD,ASRock,90-MXBJ90-A0UAYZ,4710483940835,,AM5,B650E,False,Micro-ATX,DDR5,128 GB,4,4,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B0BHYV43QV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,ASRock Fatal1ty X399 Professional Gaming,$431.41 USD,ASRock,90-MXB5Q0-A0UAYZ,4717677333930,,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B074J6LVBD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,ASRock X299 Gaming K6,$261.13 USD,ASRock,90-MXB5E0-A0UAYZ,4717677333565,,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299-K6-Fatal1ty-Motherboard/dp/B0737WT8XK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0737WT8XK
17,ASRock X399 Taichi,$314.49 USD,ASRock,90-MXB5R0-A0UAYZ,4717677333947,,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B074J5R36W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
18,"ASRock X570 Taichi, AMD X570",$293.77 USD,ASRock,90-MXBA80-A0UAYZ,4717677338683,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/ASRock-X570-Taichi-DDR4-Motherboard/dp/B07TD911Y2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TD911Y2
19,ASRock X99 Taichi,$253.93 USD,ASRock,90-MXB380-A0UAYZ,4717677331219,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-LGA2011-v3-X99-Motherboard-TAICHI/dp/B01ITOLDQI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ITOLDQI
21,ASRock Z270 Killer SLI,$196.37 USD,ASRock,90-MXB4T0-A0UAYZ,4717677332612,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B01N48AFA1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
22,ASRock Z270 Pro4,$128.2 USD,ASRock,90-MXB3Q0-A0UAYZ,4717677332414,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Z270-PRO4-CrossFireX-Motherboard/dp/B01NCEGBY5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCEGBY5
23,ASRock Z270M Pro4,$131.84 USD,ASRock,90-MXB3F0-A0UAYZ,4717677332490,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B01N1MOFKV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
24,ASRock Z270M-ITX/ac,$123.07 USD,ASRock,90-MXB3K0-A0UAYZ,4717677332407,,1151,Z270,True,Mini-ITX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Z270M-ITX-ac-Motherboard/dp/B01N1MOFKZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1MOFKZ
25,ASRock Z370 Pro4,$130.56 USD,ASRock,90-MXB5X0-A0UAYZ,4717677334180,,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-PRO4/dp/B07639M7MY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07639M7MY
26,ASRock Z370M Pro4,$122.96 USD,ASRock,90-MXB660-A0UAYZ,4717677334357,,1151,Z370,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-PRO4/dp/B076391FXP?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076391FXP
27,ASRock Z390 Extreme 4,$155.01 USD,ASRock,90-MXB880-A0UAYZ,4717677336726,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYBMRW4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
