,Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Product Page
0,AMD Ryzen 5 5600X,$158.86 USD,AMD,100-100000065BOX,730143312042,,3.7 GHz,4.6 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B08166SLDF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
1,AMD Athlon 3000G,$53.22 USD,AMD,YD3000C6FHBOX,730143311731,,3.5 GHz,,True,2,4,35 W,AM4,Radeon RX Vega 3,https://www.amazon.ca/dp/B0815JGFQ8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
2,AMD Ryzen 3 3300X,$150.09 USD,AMD,100-100000159BOX,730143312172,,3.8 GHz,4.3 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/dp/B0876YS2T4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
3,AMD Ryzen 5 5500,$87.04 USD,AMD,100-100000457BOX,730143314121,,3.6 GHz,4.2 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B09VCJ171S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
4,AMD Ryzen 5 5600,$133.46 USD,AMD,100-100000927BOX,730143314190,,3.5 GHz,4.4 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B09VCHR1VH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
5,AMD Ryzen 5 5600G,$122.59 USD,AMD,100-100000252BOX,730143313414,,3.9 GHz,4.4 GHz,True,6,12,65 W,AM4,"Radeon RX Vega 7, Cezanne",https://www.amazon.ca/dp/B092L9GF5N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
6,AMD Ryzen 5 7600,$216.89 USD,AMD,100-100001015BOX,730143314572,,3.8 GHz,5.1 GHz,True,6,12,65 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BMQJWBDM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
7,AMD Ryzen 5 7600X,$202.37 USD,AMD,100-100000593WOF,730143314442,,4.7 GHz,5.3 GHz,True,6,12,105 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BBJDS62N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
8,AMD Ryzen 7 5700G,$188.59 USD,AMD,100-100000263BOX,730143313377,,3.8 GHz,4.6 GHz,True,8,16,65 W,AM4,"Radeon RX Vega 8, Cezanne",https://www.amazon.ca/dp/B091J3NYVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
9,AMD Ryzen 7 5700X,$187.87 USD,AMD,100-100000926WOF,730143314275,,3.4 GHz,4.6 GHz,True,8,16,65 W,AM4,False,https://www.amazon.ca/dp/B09VCHQHZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
10,AMD Ryzen 7 5800X,$231.38 USD,AMD,100-100000063WOF,730143312714,,3.8 GHz,4.7 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B0815XFSGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,AMD Ryzen 7 5800X3D,$304.65 USD,AMD,100-100000651WOF,730143313797,,3.4 GHz,4.5 GHz,False,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B09VCJ2SHD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
12,AMD Ryzen 7 7700,$319.16 USD,AMD,100-100000592BOX,730143314497,,3.8 GHz,5.3 GHz,True,8,16,65 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BMQHSCVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
13,AMD Ryzen 7 7700X,$318.44 USD,AMD,100-100000591WOF,730143314428,,4.5 GHz,5.4 GHz,True,8,16,105 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BBHHT8LY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
14,AMD Ryzen 7 7800X3D,$384.44 USD,AMD,100-100000910WOF,730143314930,,4.2 GHz,5.0 GHz,False,8,16,120 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BTZB7F88?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
15,AMD Ryzen 9 5900X,$325.69 USD,AMD,100-100000061WOF,730143312738,,3.7 GHz,4.8 GHz,True,12,24,105 W,AM4,False,https://www.amazon.ca/dp/B08164VTWH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,AMD Ryzen 9 5950X,$224.86 USD,AMD,100-100000059WOF,730143312745,,3.4 GHz,4.9 GHz,True,16,32,105 W,AM4,False,https://www.amazon.ca/dp/B0815XFSGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
17,AMD Ryzen 9 7900,$398.22 USD,AMD,100-100000590BOX,730143314466,,3.7 GHz,5.4 GHz,True,12,24,65 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BMQK718H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
18,AMD Ryzen 9 7900X,$424.34 USD,AMD,100-100000589WOF,730143314558,,4.7 GHz,5.6 GHz,True,12,24,170 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BBJ59WJ4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
