,Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
0,be quiet! Dark Rock 4 - 135mm,$64.54 USD,be quiet!,BK021,4260052186251,4260052186251.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",159 mm,200 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B07BYP9S95?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
1,Arctic Freezer 34 - 120mm,$30.72 USD,Arctic,ACFRE00052A,4895213701440,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,150 W,0,0,0,0,0,True,https://www.amazon.ca/ARCTIC-Freezer-34-Pressure-Optimised-Technology/dp/B07L9T4YC2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07L9T4YC2
2,"Arctic Freezer 34 eSports Duo , 2x 120mm - red",$51.28 USD,Arctic,ACFRE00060A,4895213701860,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07MC8CRVZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
3,"Arctic Freezer 34 eSports Duo , 2x 120mm - white",$44.94 USD,Arctic,ACFRE00061A,4895213701877,872767009790.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/Freezer-34-Esports-Duo-White/dp/B07MJGNJB3?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MJGNJB3
6,Arctic Freezer I11 - 92mm,$28.29 USD,Arctic,UCACO-FI11001-CSA01,872767006812,,"1150, 1151, 1155, 1156, 2011, 2011-V3",130 mm,,0,1,0,0,0,False,https://www.amazon.ca/Freezer-i11-Capacity-Heatpipes-Vibration-Dampened/dp/B00HO9P05A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HO9P05A
10,Arctic Liquid Freezer II Processor,$90.6 USD,Arctic,ACFRE00046A,4895213701907,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/ARCTIC-Liquid-Freezer-All-One/dp/B07WSDLRVP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07WSDLRVP
11,be quiet! Dark Rock Pro 4 - 135mm,$104.44 USD,be quiet!,BK022,4260052186268,4260052186268.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",163 mm,250 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B07BY6F8D9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
12,be quiet! Pure Rock - 120mm,$52.68 USD,be quiet!,BK009,4260052183915,4260052183915.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00OB40ULU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
13,Cooler Master Hyper 212 Black Edition - 120mm,$62.91 USD,Cooler Master,RR-212S-20PK-R1,4719512076163,884102048654.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",160.02 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07H25DYM3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
14,Corsair Cooling Hydro Series H100i Pro,$116.05 USD,Corsair,CW-9060033-WW,843591026512,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07BWNWQKJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
15,Corsair Cooling Hydro Series H115i PRO,$137.81 USD,Corsair,CW-9060032-WW,843591026505,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B077G3C6HH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,"Corsair Cooling Hydro Series H150i PRO , RGB",$166.83 USD,Corsair,CW-9060031-WW,843591026499,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B077FZPCRH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
118,Antec A30 - 92mm,$29.07 USD,Antec,0-761345-10922-2,761345109222,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",122.5 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01HLAHDWE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
119,Antec A40 PRO - 92mm,$39.42 USD,Antec,0-761345-10923-9,761345109239,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",136 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01HLAB80C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
120,Antec A400 RGB Processor Kühler,$51.75 USD,Antec,0-761345-10921-5,761345109215,,"AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MWF1842?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
121,Antec C40 - 92mm,$56.96 USD,Antec,0-761345-10929-1,761345109291,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","136,5 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B00EF3YN7E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
122,Antec C400 - 120mm,$26.26 USD,Antec,0-761345-10920-8,761345109208,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01KMN6QMU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
125,Arctic Alpine 11 passiv,$17.1 USD,ARCTIC,Arctic Alpine 11 passiv,872767008250,,"1150, 1151, 1155, 1156",69 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Alpine-11-Passive-Pre-Applied/dp/B01ARGVZBE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ARGVZBE
126,Arctic Alpine 12 - 92mm,$11.02 USD,Arctic,ACALP00027A,4895213701419,,"1150, 1151, 1155, 1156",77 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07HJ198TB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
127,Arctic Alpine 12 CO - 92mm,$15.62 USD,Arctic,ACALP00031A,4895213701433,,"1150, 1151, 1155, 1156",79 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07HJ3DNX2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
128,Arctic Alpine 12 LP Low-Profile - 92mm,$9.42 USD,Arctic,ACALP00029A,4895213701426,,"1150, 1151, 1155, 1156","42,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/Arctic-ACALP00029A-Alpine-12-LP/dp/B07HJ3DWQ2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HJ3DWQ2
129,Arctic Alpine 12 passiver - black,$12.22 USD,Arctic,ACALP00024A,4895213701303,872767009264.0,"1150, 1151, 1155, 1156",69 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07CZZZ4DQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
132,Arctic Alpine 64 GT - 80mm,$10.15 USD,Arctic,UCACO-P1600-GBA01,872767002265,,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",65 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001A5V1K2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
