,Unnamed: 0.1,Unnamed: 0,Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Product Page
0,0,7,ASRock Radeon RX 7700 XT Phantom Gaming 12GO,$499.61 USD,ASRock,90-GA4LZZ-00UANF,4710483943614,,328 mm,2.5,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W,https://www.amazon.ca/dp/B0CHK39HDX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
1,1,9,ASRock Radeon RX 7800 XT Challenger 16GO,$547.11 USD,ASRock,90-GA4SZZ-00UANF,4710483943683,,267 mm,2.5,2,0,1,3,0,0,2475 MHz,16 GB,19500 MHz,263 W,https://www.amazon.ca/dp/B0CHK3929K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
2,2,78,ASUS Radeon RX 6700 XT TUF O12G,$768.16 USD,ASUS,90YV0G80-M0NA00,4711081119289,,322 mm,3.0,1,1,1,3,0,0,2622 MHz,12 GB,8000 MHz,230 W,https://www.amazon.ca/dp/B08YX8D8ST?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
3,3,153,Gigabyte GeForce RTX 3050 Eagle OC,$283.32 USD,Gigabyte,GV-N3050EAGLE OC-8GD,4719331310721,889523031940.0,213 mm,2.0,1,0,2,2,0,0,1792 MHz,8 GB,4 MHz,130 W,https://www.amazon.ca/dp/B09QVYJC3S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
4,4,154,Gigabyte GeForce RTX 3050 Gaming OC,$295.95 USD,Gigabyte,GV-N3050GAMING OC-8GD,4719331310691,889523031810.0,282 mm,2.0,1,0,2,2,0,0,1822 MHz,8 GB,4 MHz,130 W,https://www.amazon.ca/dp/B09QVPMGYV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
5,5,161,Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,$297.4 USD,Gigabyte,GV-N3060GAMING OC-12GD 2.0,4719331309312,889523028629.0,282 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W,https://www.amazon.ca/dp/B0971BG25M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
6,6,167,Gigabyte GeForce RTX 3060 Ti Gaming OC 8G LHR,$426.51 USD,Gigabyte,GV-N306TGAMING OC-8GD 2.0,4719331309794,889523029626.0,282 mm,2.0,1,0,2,2,0,0,1740 MHz,8 GB,14000 MHz,230 W,https://www.amazon.ca/dp/B09BKBJ14W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
7,7,169,Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,$649.8 USD,Gigabyte,GV-N306TGAMINGOC PRO-8GD 3.0,4719331309411,889523029237.0,281 mm,2.0,1,1,2,2,0,0,1770 MHz,8 GB,14000 MHz,200 W,https://www.amazon.ca/dp/B098PJNWKD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
8,8,172,Gigabyte GeForce RTX 3060 Vision OC 12G LHR,$355.43 USD,Gigabyte,GV-N3060VISION OC-12GD 2.0,4719331309350,889523028841.0,280 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W,https://www.amazon.ca/dp/B0971BRCM4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
9,9,178,Gigabyte GeForce RTX 3070 Ti Master,$1034.26 USD,Gigabyte,GV-N307TAORUS M-8GD,4719331309336,889523028728.0,324 mm,3.5,2,1,3,3,0,0,1875 MHz,8 GB,19000 MHz,290 W,https://www.amazon.ca/dp/B097GMHNCT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
