,Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
0,Acer CB242Y bir,$166.76 USD,Acer,UM.QB2AA.001,744759158536,193199329202.0,1920 x 1080,75 Hz,"23.8""",IPS,1,1,0,0,1,True,False,True,FreeSync,https://www.amazon.ca/dp/B07V9ZM155?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,Viewsonic VX2758-2KP-MHD,$301.26 USD,ViewSonic,VX2758-2KP-MHD,766907003901,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07VJJXDBX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
63,AOC AGON AG241QX,$289.47 USD,AOC,AG241QX,4038986145862,,2560 x 1440,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG241QX-Adaptive-Sync-DisplayPort-QuickSwitch/dp/B01NCTHS6E?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCTHS6E
67,AOC AGON AG271QG,$652.9 USD,AOC,AG271QG,4038986185844,,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG271QG-27-Inch-Display-Monitor/dp/B01G5JYMNA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYMNA
68,AOC AGON AG271QX,$419.06 USD,AOC,AG271QX,4038986185417,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG271QX-Gaming-Monitor-144hz/dp/B01G5JYN0C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYN0C
71,AOC AGON AG273QCG,$372.94 USD,AOC,AG273QCG,4038986186414,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,True,True,True,,https://www.amazon.ca/AOC-AG273QCG-Curved-Monitor-DisplayPort/dp/B07LBMWHX3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LBMWHX3
72,AOC AGON AG273QCX,$408.63 USD,AOC,AG273QCX,4038986186407,,2560 x 1440,144 Hz,"27""",VA,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG273QCX-FreeSync-DisplayHDR-DisplayPort/dp/B07MJCF5N4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MJCF5N4
76,AOC AGON AG322QC4,$439.56 USD,AOC,AG322QC4,4038986116428,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG322QC4-2560x1440-DisplayHDR-DisplayPort/dp/B07G1CTZGS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07G1CTZGS
79,AOC AGON AG352UCG6,$605.99 USD,AOC,AG352UCG6,4038986116442,,3440 x 1440,122 Hz,"35""",VA,4,0,0,0,0,True,True,True,,https://www.amazon.ca/AOC-AG352UCG6-Monitor-3440x1440-DisplayPort/dp/B07BMVNJZP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVNJZP
85,AOC C24G1,$140.17 USD,AOC,C24G1,4038986146494,,1920 x 1080,144 Hz,"23.6""",VA,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/AOC-C24G1-Frameless-DisplayPort-Adjustable/dp/B07GD7H18F?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD7H18F
87,AOC C27G1,$208.24 USD,AOC,C27G1,4038986186506,,1920 x 1080,144 Hz,"27""",VA,1,0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/AOC-C27G1-Screen-14700510-Black/dp/B07GD5XG5G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD5XG5G
90,AOC C32G1,$250.75 USD,AOC,C32G1,4038986116510,,1920 x 1080,144 Hz,"31.5""",VA,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-C32G1-Frameless-1920x1080-DisplayPort/dp/B07HKGFB27?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKGFB27
92,AOC CQ32G1,$340.92 USD,AOC,CQ32G1,4038986116718,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-CQ32G1-Frameless-2560x1440-DisplayPort/dp/B07HKM16DT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKM16DT
97,AOC G2260VWQ6,$125.7 USD,AOC,G2260VWQ6,4038986125314,,1920 x 1080,122 Hz,"21.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-G2260VWQ6-1920x1080-FlickerFree-DisplayPort/dp/B0158L13M4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0158L13M4
98,AOC G2460PF,$179.86 USD,AOC,G2460PF,4038986145381,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2460PF-24-Inch-Gaming-Monitor/dp/B01BV1XBEI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BV1XBEI
100,AOC G2460VQ6,$114.59 USD,AOC,G2460VQ6,4038986145398,,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/AOC-G2460VQ6-FreeSync-1920x1080-DisplayPort/dp/B01N1YCKAE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1YCKAE
101,AOC G2590FX 62,$161.75 USD,AOC,G2590FX,4038986166423,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07D377Q6D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
102,AOC G2590PX 62,$221.96 USD,AOC,G2590PX,4038986166096,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2590PX-Frameless-Monitor-Compatible/dp/B07R4XPVKG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R4XPVKG
110,AOC I1601FWUX,$174.47 USD,AOC,I1601FWUX,4038986156479,,1920 x 1080,60 Hz,"15.6""",IPS,5,0,0,0,0,False,False,False,,https://www.amazon.ca/AOC-I1601FWUX-Extremely-1920x1080-SmartCover/dp/B06Y8SSQG5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y8SSQG5
114,AOC U2879VF,$259.43 USD,AOC,U2879VF,4038986185714,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/AOC-U2879VF-Screen-LCD-14700510/dp/B0163JLIWU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0163JLIWU
119,ASUS MG278Q,$344.15 USD,ASUS,90LM01S0-B01170,4712900087666,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B014X4U076?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
128,ASUS MX299Q,$369.5 USD,ASUS,90LM0080-B01170,4716659472506,,2560 x 1080,60 Hz,"29""",IPS,5,1,1,1,0,False,False,False,,https://www.amazon.ca/dp/B00DRPYQ9G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
139,ASUS PB287Q,$362.35 USD,ASUS,90LM00R0-B03170,4716659666448,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B00KJGY3TO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
164,ASUS ROG Swift PG27UQ,$1344.3 USD,ASUS,90LM03A0-B01370,4712900711929,,3840 × 2160,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07F1VGGLK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
172,ASUS TUF Gaming VG249Q,$218.33 USD,ASUS,90LM05E0-B01170,4718017485395,,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B0829S7178?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
