,Name,Price,Producer,MPN,EAN,UPC,Form Factor,Protocol,Size,NAND,Controller,Product Page
0,Crucial P2 1000 GB,$78.51 USD,Crucial,CT1000P2SSD8,649528823472,,M.2,NVM,1000 GB,TLC,Phison PS5013-E13T,https://www.amazon.ca/dp/B089DNM8LR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
1,ADATA XPG SX8200 Pro Series 2000 GB,$217.61 USD,ADATA,ASX8200PNP-2TT-C,4710273772875,,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262EN,https://www.amazon.ca/dp/B07TY2TN64?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
2,ADATA XPG SX8200 Pro Series 512 GB,$261.13 USD,ADATA,ASX8200PNP-512GT-C,4713218469458,,M.2,NVM,512 GB,TLC,Silicon Motion SM2262EN,https://www.amazon.ca/XPG-SX8200-Gen3x4-3000MB-ASX8200PNP-2TT-C/dp/B07TY2TN64?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TY2TN64
4,ADATA XPG SX8200 Series,$82.74 USD,ADATA,ASX8200NP-240GT-C,4713218463678,,M.2,NVM,240 GB,,Silicon Motion SM2262,https://www.amazon.ca/XPG-SX8200-240GB-Gen3x4-ASX8200NP-240GT-C/dp/B07BLNFSQN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BLNFSQN
5,ADATA XPG SX8200 Series,$161.48 USD,ADATA,ASX8200NP-480GT-C,4713218463685,,M.2,NVM,480 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B07BLMP9ZT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
7,Corsair MP400 1000 GB,$123.31 USD,Corsair,CSSD-F1000GBMP400,840006623250,,M.2,NVM,1000 GB,QLC,PS5012-E12S,https://www.amazon.ca/dp/B08JV25ZL3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
9,Corsair MP400 4000 GB,$553.45 USD,Corsair,CSSD-F4000GBMP400,840006623274,,M.2,NVM,4000 GB,QLC,PS5012-E12S,https://www.amazon.ca/dp/B08JTQTWRM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,Corsair MP600 1000 GB,$162.46 USD,Corsair,CSSD-F1000GBMP600,840006614517,,M.2,NVM,1000 GB,MLC,Phisons PS5016-E16,https://www.amazon.ca/dp/B07SQZYW2V?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
12,Corsair MP600 2000 GB,$248.07 USD,Corsair,CSSD-F2000GBMP600,840006614524,,M.2,NVM,2000 GB,MLC,Phisons PS5016-E16,https://www.amazon.ca/dp/B07SNGBW84?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
13,Corsair MP600 500 GB,$90.66 USD,Corsair,CSSD-F500GBMP600,840006614531,,M.2,NVM,500 GB,TLC,Phisons PS5016-E16,https://www.amazon.ca/dp/B07WS1BRX4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
14,Corsair MP600 Pro 1000 GB,$94.31 USD,Corsair,CSSD-F1000GBMP600PRO,840006637325,,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B08T9ZNSFN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
15,Corsair MP600 Pro 2000 GB,$146.64 USD,Corsair,CSSD-F2000GBMP600PRO,840006637349,,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B08T9ZY5SY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,Crucial MX500 1000 GB,$59.51 USD,Crucial,CT1000MX500SSD1,649528785060,649528785060.0,SATA,SATA,1000 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B078211KBB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
17,Crucial MX500 2000 GB,$112.41 USD,Crucial,CT2000MX500SSD1,649528785077,649528785077.0,SATA,SATA,2000 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B003J5JB12?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
