,Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
0,Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,$87.03 USD,Corsair,CC-9011201-WW,840006621928,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,2,0,0,,white,True,True,True,False,https://www.amazon.ca/dp/B08C74694Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
2,Antec P5 Mini - black,$75.82 USD,Antec,0-761345-80012-9,761345800129,,195 mm,475 mm,395 mm,Micro-ATX,ATX,360 mm,155 mm,0/0,1/3,1/1,0/0,1.0,0,1.0,0.0,0.0,4,0,0,,black,False,True,True,True,https://www.amazon.ca/Antec-Performance-P5-Dampening-Pre-Installed/dp/B07GCJ9ND3?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GCJ9ND3
18,Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,$100.19 USD,Corsair,CC-9011200-WW,840006621904,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B08C7BGV3D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
19,"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",$141.44 USD,Corsair,CC-9011210-WW,840006627470,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,2/10,0/4,0/0,0.0,0,0.0,0.0,3.0,4,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B08M49WW51?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
20,"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",$141.43 USD,Corsair,CC-9011211-WW,840006627494,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,2/10,0/4,0/0,1.0,0,0.0,0.0,3.0,4,2,0,,white,True,True,True,False,https://www.amazon.ca/dp/B08M48QY16?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
21,Corsair Carbide SPEC-02 Midi-Tower - black/red,$63.86 USD,Corsair,CC-9011051-WW,843591047258,10832829458.0,220 mm,500 mm,430 mm,ATX,ATX,420 mm,157 mm,0/0,2/6,0/2,0/0,1.0,0,0.0,0.0,0.0,2,3,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00I0MKMG2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
23,Fractal Design Define Nano S Mini-ITX - black,$68.9 USD,Fractal Design,FD-CA-DEF-NANO-S-BK,7350041084129,817301014120.0,203 mm,400 mm,330 mm,Mini-ITX,ATX,315 mm,160 mm,0/0,1/6,1/4,0/0,2.0,0,2.0,1.0,0.0,4,2,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01BEH1Y3E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
24,Fractal Design Focus G Midi-Tower - black Window,$52.22 USD,Fractal Design,FD-CA-FOCUS-BK-W,7350041084907,817301014908.0,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1.0,0,2.0,1.0,0.0,1,2,0,,black,True,True,False,False,https://www.amazon.ca/Fractal-Design-Focus-Computer-Airflow/dp/B071SHFRTP?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071SHFRTP
25,Fractal Design Meshify C Midi-Tower - black,$87.04 USD,Fractal Design,FD-CA-MESH-C-BKO,7340172700081,843276100087.0,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1.0,0,1.0,0.0,1.0,3,0,0,,black,False,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-C-ATX/dp/B07B39HBV2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B39HBV2
26,"Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - black",$94.29 USD,Fractal Design,FD-CA-MESH-C-MINI-BKO-TGD,7340172700111,843276100117.0,212 mm,395 mm,399 mm,Micro-ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1.0,0,2.0,1.0,0.0,5,2,0,,black,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Supply-MicroATX/dp/B07BCGCPFH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BCGCPFH
